Image,Component,Origin,License,Distributed by you?,Comments
scenescape-camcalibration,ipywidgets==8.1.7,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,isodate==0.7.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,itsdangerous==2.2.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,Jinja2==3.1.6,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,joblib==1.5.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,jupyter_core==5.8.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,jupyterlab_widgets==3.0.15,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,lxml==6.0.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,MarkupSafe==3.0.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,mpmath==1.3.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,nbformat==5.10.4,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,nest-asyncio==1.6.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,networkx==3.4.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,numpy==1.26.4,pypi,BSD-3-Clause,Y,imported
scenescape-camcalibration,oauthlib==3.3.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,pandas==2.3.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,prompt_toolkit==3.0.51,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,psutil==7.0.0,pypi,BSD-3-Clause,Y,used by tests
scenescape-camcalibration,pycolmap==0.4.0,pypi,BSD-3-Clause,Y,imported
scenescape-camcalibration,Pygments==2.19.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,PySocks==1.7.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,python-dateutil==2.9.0.post0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,scikit-learn==1.7.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,scipy==1.15.3,pypi,BSD-3-Clause,Y,imported
scenescape-camcalibration,sympy==1.14.0,pypi,BSD-3-Clause,Y,imported
scenescape-camcalibration,threadpoolctl==3.6.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,torch==2.7.1+cpu,pypi,BSD-3-Clause,Y,imported
scenescape-camcalibration,torchvision==0.22.1+cpu,pypi,BSD-3-Clause,Y,imported
scenescape-camcalibration,traitlets==5.14.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,websocket-client==1.8.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,Werkzeug==3.1.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,widgetsnbextension==4.0.14,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,click==8.2.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,comm==0.2.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,cycler==0.12.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,Flask==3.1.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,idna==3.10,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,ipython==9.4.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,ipython_pygments_lexers==1.1.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,ipywidgets==8.1.7,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,itsdangerous==2.2.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,Jinja2==3.1.6,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,joblib==1.5.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,jupyter_core==5.8.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,jupyterlab_widgets==3.0.15,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,MarkupSafe==3.0.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,nbformat==5.10.4,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,nest-asyncio==1.6.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,numpy==1.26.4,pypi,BSD-3-Clause,Y,imported
scenescape-controller,pandas==2.3.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,prompt_toolkit==3.0.51,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,protobuf==4.24.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,Pygments==2.19.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,python-dateutil==2.9.0.post0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,scikit-learn==1.7.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,scipy==1.16.1,pypi,BSD-3-Clause,Y,imported
scenescape-controller,shapely==2.1.1,pypi,BSD-3-Clause,Y,imported
scenescape-controller,threadpoolctl==3.6.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,traitlets==5.14.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,Werkzeug==3.1.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-controller,widgetsnbextension==4.0.14,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,asgiref==3.9.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,click==8.2.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,comm==0.2.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,cycler==0.12.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,Django==5.2.4,pypi,BSD-3-Clause,Y,imported
scenescape-manager,django-debug-toolbar==6.0.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,django-session-timeout==0.1.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,Flask==3.1.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,idna==3.10,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,ipython==8.37.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,ipywidgets==8.1.7,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,isodate==0.7.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,itsdangerous==2.2.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,Jinja2==3.1.6,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,joblib==1.5.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
